"TRACT","ward","households","tract_total","allocation","tract_shortname"
"17031241100",26,754,1642,0.459196102314251,"2411"
"17031241200",1,773,773,1,"2412"
"17031241300",2,955,955,1,"2413"
"17031241400",1,2514,2514,1,"2414"
"17031241500",1,154,1416,0.108757062146893,"2415"
"17031241500",2,1262,1416,0.891242937853107,"2415"
"17031241600",2,1729,1729,1,"2416"
"17031242000",1,817,2246,0.363757791629564,"2420"
"17031242000",2,997,2246,0.443900267141585,"2420"
"17031242000",27,432,2246,0.192341941228851,"2420"
"17031242100",1,1754,1754,1,"2421"
"17031242200",1,666,1736,0.383640552995392,"2422"
"17031242200",2,1070,1736,0.616359447004608,"2422"
"17031242300",1,37,1625,0.0227692307692308,"2423"
"17031242300",2,1588,1625,0.977230769230769,"2423"
"17031242400",1,851,1416,0.600988700564972,"2424"
"17031242400",2,565,1416,0.399011299435028,"2424"
"17031242500",1,499,1626,0.306888068880689,"2425"
"17031242500",26,1127,1626,0.693111931119311,"2425"
"17031242600",1,695,2594,0.267925983037779,"2426"
"17031242600",26,1899,2594,0.732074016962221,"2426"
"17031242700",26,758,758,1,"2427"
"17031242800",26,592,619,0.956381260096931,"2428"
"17031242800",27,27,619,0.0436187399030695,"2428"
"17031242900",1,307,804,0.381840796019901,"2429"
"17031242900",26,476,804,0.592039800995025,"2429"
"17031242900",27,21,804,0.0261194029850746,"2429"
"17031243000",1,482,1070,0.450467289719626,"2430"
"17031243000",26,579,1070,0.541121495327103,"2430"
"17031243000",27,9,1070,0.00841121495327103,"2430"
"17031243100",1,896,919,0.974972796517954,"2431"
"17031243100",27,23,919,0.0250272034820457,"2431"
"17031243200",1,970,983,0.98677517802645,"2432"
"17031243200",27,13,983,0.0132248219735504,"2432"
"17031243300",1,681,1140,0.597368421052632,"2433"
"17031243300",27,459,1140,0.402631578947368,"2433"
"17031243400",1,905,1372,0.659620991253644,"2434"
"17031243400",27,467,1372,0.340379008746356,"2434"
"17031243500",27,1811,1811,1,"2435"
"17031250200",37,790,790,1,"2502"
"17031250300",37,1593,1593,1,"2503"
"17031250400",29,1815,1815,1,"2504"
"17031250500",29,2841,2901,0.979317476732161,"2505"
"17031250500",36,60,2901,0.0206825232678387,"2505"
"17031250600",29,1388,1388,1,"2506"
"17031250700",37,2113,2113,1,"2507"
"17031250800",37,809,809,1,"2508"
"17031251000",37,342,342,1,"2510"
"17031251100",37,1539,1539,1,"2511"
"17031251200",37,1155,1155,1,"2512"
"17031251300",29,1559,1559,1,"2513"
"17031251400",29,1782,1782,1,"2514"
"17031251500",37,1476,1476,1,"2515"
"17031251600",28,20,1096,0.0182481751824818,"2516"
"17031251600",37,1076,1096,0.981751824817518,"2516"
"17031251700",28,189,374,0.505347593582888,"2517"
"17031251700",37,185,374,0.494652406417112,"2517"
"17031251800",28,1706,1706,1,"2518"
"17031251900",28,604,1663,0.363199037883343,"2519"
"17031251900",29,565,1663,0.339747444377631,"2519"
"17031251900",37,494,1663,0.297053517739026,"2519"
"17031252000",29,2440,2440,1,"2520"
"17031252101",29,504,504,1,"2521.01"
"17031252102",29,2289,2289,1,"2521.02"
"17031252201",28,743,1252,0.593450479233227,"2522.01"
"17031252201",29,509,1252,0.406549520766773,"2522.01"
"17031252202",24,218,1671,0.130460801915021,"2522.02"
"17031252202",28,985,1671,0.589467384799521,"2522.02"
"17031252202",29,468,1671,0.280071813285458,"2522.02"
"17031260100",28,494,560,0.882142857142857,"2601"
"17031260100",37,66,560,0.117857142857143,"2601"
"17031260200",28,381,381,1,"2602"
"17031260300",28,571,571,1,"2603"
"17031260400",28,408,408,1,"2604"
"17031260500",28,539,539,1,"2605"
"17031260600",28,527,527,1,"2606"
"17031260700",28,566,566,1,"2607"
"17031260800",28,907,907,1,"2608"
"17031260900",24,521,521,1,"2609"
"17031261000",24,722,722,1,"2610"
"17031270500",24,456,647,0.704791344667697,"2705"
"17031270500",28,191,647,0.295208655332303,"2705"
"17031271200",28,514,514,1,"2712"
"17031271300",28,365,365,1,"2713"
"17031271400",24,8,535,0.0149532710280374,"2714"
"17031271400",28,527,535,0.985046728971963,"2714"
"17031271500",24,574,574,1,"2715"
"17031271800",28,224,224,1,"2718"
"17031280100",27,84,4475,0.0187709497206704,"2801"
"17031280100",42,4391,4475,0.98122905027933,"2801"
"17031280400",27,712,712,1,"2804"
"17031280800",27,406,406,1,"2808"
"17031280900",27,378,378,1,"2809"
"17031281900",27,444,3746,0.118526428190069,"2819"
"17031281900",42,3302,3746,0.881473571809931,"2819"
"17031282700",28,801,801,1,"2827"
"17031282800",28,699,699,1,"2828"
"17031283100",28,1248,1248,1,"2831"
"17031283200",28,690,690,1,"2832"
"17031283800",11,1032,1740,0.593103448275862,"2838"
"17031283800",25,708,1740,0.406896551724138,"2838"
"17031290900",24,1285,1285,1,"2909"
"17031291200",24,842,842,1,"2912"
"17031291600",24,385,385,1,"2916"
"17031292200",24,985,985,1,"2922"
"17031292400",24,688,688,1,"2924"
"17031292500",24,1445,1445,1,"2925"
"17031300500",22,994,994,1,"3005"
"17031300600",22,995,995,1,"3006"
"17031300700",22,1524,1524,1,"3007"
"17031300800",12,937,1105,0.847963800904977,"3008"
"17031300800",22,168,1105,0.152036199095023,"3008"
